category,month,seasonality_index,demand_driver,source_type,notes
Apparel,2022-01,86,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-01,91,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-01,96,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-01,90,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-01,88,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-01,109,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-01,99,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-01,88,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-02,90,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-02,88,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-02,97,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-02,96,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-02,89,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-02,93,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-02,98,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-02,89,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-03,104,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-03,93,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-03,99,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-03,102,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-03,94,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-03,96,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-03,101,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-03,102,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-04,101,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-04,95,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-04,98,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-04,99,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-04,96,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-04,106,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-04,100,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-04,105,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-05,93,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-05,94,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-05,97,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-05,94,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-05,93,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-05,114,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-05,99,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-05,93,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-06,88,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-06,90,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-06,96,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-06,91,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-06,87,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-06,102,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-06,96,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-06,88,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-07,87,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-07,88,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-07,97,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-07,92,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-07,86,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-07,100,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-07,97,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-07,86,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-08,95,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-08,92,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-08,99,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-08,97,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-08,90,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-08,99,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-08,98,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-08,93,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-09,103,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-09,99,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-09,101,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-09,102,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-09,98,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-09,94,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-09,99,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-09,100,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-10,119,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-10,117,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-10,105,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-10,112,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-10,113,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-10,99,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-10,103,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-10,124,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-11,130,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-11,125,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-11,107,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-11,119,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-11,122,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-11,105,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-11,106,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-11,136,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-12,108,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-12,107,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-12,102,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-12,105,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-12,110,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-12,122,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-12,107,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-12,110,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-01,87,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-01,92,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-01,97,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-01,91,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-01,89,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-01,110,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-01,100,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-01,89,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-02,91,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-02,89,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-02,98,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-02,97,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-02,90,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-02,94,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-02,99,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-02,90,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-03,105,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-03,94,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-03,100,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-03,103,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-03,95,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-03,97,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-03,102,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-03,103,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-04,102,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-04,96,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-04,99,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-04,100,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-04,97,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-04,107,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-04,101,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-04,106,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-05,94,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-05,95,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-05,98,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-05,95,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-05,94,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-05,115,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-05,100,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-05,94,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-06,89,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-06,91,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-06,97,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-06,92,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-06,88,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-06,103,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-06,97,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-06,89,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-07,88,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-07,89,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-07,98,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-07,93,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-07,87,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-07,101,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-07,98,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-07,87,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-08,96,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-08,93,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-08,100,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-08,98,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-08,91,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-08,100,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-08,99,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-08,94,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-09,104,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-09,100,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-09,102,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-09,103,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-09,99,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-09,95,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-09,100,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-09,101,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-10,120,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-10,118,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-10,106,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-10,113,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-10,114,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-10,100,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-10,104,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-10,125,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-11,131,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-11,126,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-11,108,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-11,120,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-11,123,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-11,106,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-11,107,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-11,137,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2023-12,109,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2023-12,108,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2023-12,103,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2023-12,106,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2023-12,111,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2023-12,123,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2023-12,108,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2023-12,111,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2024-01,88,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-01,93,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-01,98,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-01,92,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-01,90,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-01,111,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-01,101,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-01,90,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2024-02,92,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-02,90,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-02,99,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-02,98,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-02,91,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-02,95,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-02,100,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-02,91,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2024-03,106,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-03,95,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-03,101,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-03,104,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-03,96,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-03,98,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-03,103,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-03,104,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2024-04,103,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-04,97,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-04,100,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-04,101,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-04,98,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-04,108,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-04,102,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-04,107,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2024-05,95,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-05,96,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-05,99,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-05,96,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-05,95,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-05,116,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-05,101,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-05,95,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2024-06,90,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-06,92,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-06,98,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-06,93,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-06,89,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-06,104,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-06,98,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-06,90,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
