category,month,seasonality_index,demand_driver,source_type,notes
Apparel,2024-07,89,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-07,90,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-07,99,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-07,94,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-07,88,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-07,102,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-07,99,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-07,88,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2024-08,97,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-08,94,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-08,101,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-08,99,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-08,92,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-08,101,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-08,100,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-08,95,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2024-09,105,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-09,101,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-09,103,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-09,104,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-09,100,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-09,96,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-09,101,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-09,102,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2024-10,121,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-10,119,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-10,107,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-10,114,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-10,115,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-10,101,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-10,105,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-10,126,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2024-11,132,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-11,127,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-11,109,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-11,121,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-11,124,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-11,107,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-11,108,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-11,138,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2024-12,110,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2024-12,109,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2024-12,104,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2024-12,107,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2024-12,112,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2024-12,124,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2024-12,109,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2024-12,112,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-01,89,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-01,94,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-01,99,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-01,93,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-01,91,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-01,112,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-01,102,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-01,91,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-02,93,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-02,91,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-02,100,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-02,99,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-02,92,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-02,96,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-02,101,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-02,92,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-03,107,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-03,96,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-03,102,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-03,105,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-03,97,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-03,99,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-03,104,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-03,105,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-04,104,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-04,98,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-04,101,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-04,102,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-04,99,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-04,109,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-04,103,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-04,108,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-05,96,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-05,97,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-05,100,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-05,97,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-05,96,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-05,117,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-05,102,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-05,96,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-06,91,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-06,93,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-06,99,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-06,94,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-06,90,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-06,105,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-06,99,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-06,91,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-07,90,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-07,91,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-07,100,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-07,95,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-07,89,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-07,103,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-07,100,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-07,89,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-08,98,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-08,95,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-08,102,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-08,100,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-08,93,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-08,102,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-08,101,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-08,96,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-09,106,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-09,102,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-09,104,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-09,105,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-09,101,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-09,97,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-09,102,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-09,103,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-10,122,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-10,120,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-10,108,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-10,115,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-10,116,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-10,102,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-10,106,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-10,127,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-11,133,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-11,128,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-11,110,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-11,122,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-11,125,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-11,108,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-11,109,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-11,139,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2025-12,111,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2025-12,110,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2025-12,105,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2025-12,108,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2025-12,113,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2025-12,125,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2025-12,110,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2025-12,113,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-01,90,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-01,95,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-01,100,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-01,94,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-01,92,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-01,113,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-01,103,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-01,92,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-02,94,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-02,92,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-02,101,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-02,100,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-02,93,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-02,97,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-02,102,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-02,93,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-03,108,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-03,97,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-03,103,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-03,106,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-03,98,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-03,100,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-03,105,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-03,106,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-04,105,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-04,99,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-04,102,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-04,103,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-04,100,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-04,110,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-04,104,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-04,109,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-05,97,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-05,98,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-05,101,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-05,98,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-05,97,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-05,118,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-05,103,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-05,97,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-06,92,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-06,94,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-06,100,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-06,95,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-06,91,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-06,106,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-06,100,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-06,92,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-07,91,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-07,92,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-07,101,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-07,96,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-07,90,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-07,104,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-07,101,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-07,90,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-08,99,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-08,96,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-08,103,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-08,101,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-08,94,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-08,103,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-08,102,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-08,97,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-09,107,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-09,103,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-09,105,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-09,106,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-09,102,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-09,98,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-09,103,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-09,104,onam+ganesh+festive ramp,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-10,123,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-10,121,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-10,109,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-10,116,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-10,117,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-10,103,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-10,107,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-10,128,navratri+pre-diwali peak,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-11,134,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-11,129,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-11,111,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-11,123,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-11,126,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-11,109,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-11,110,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-11,140,diwali+post-festive carryover,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2026-12,112,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2026-12,111,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2026-12,106,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2026-12,109,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2026-12,114,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2026-12,126,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2026-12,111,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2026-12,114,wedding+year-end demand,synthetic_baseline,Index 100 = long-run category monthly average
